id_plan,id_usuario,tipo,plan_duracion,instructions,objectivo
1a257404-2741-4d5b-aae3-90f1e49b0471,9efa1289-5256-49c0-ae8d-1eb3a88fb9e6,media-maraton,1.63,"Lorem ipsum dolor sit amet consectetuer adipiscing elit. Proin risus. Praesent lectus.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
296f1010-fd8b-4feb-a7dc-64d429099a65,b4d30551-59cb-45b7-8b7f-c81e2223f076,hiit,1.73,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.","Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus."
d3c2f38b-249f-40c1-8230-d0ee763aa16e,effbcd55-e394-4879-a07b-ed4b2a6c7d85,condicionamiento,1.3,"Proin leo odio porttitor id consequat in consequat ut nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus."
b206f2a3-5ddd-47a3-8884-c56d41266413,fc621f46-e0ef-4ad5-bfdf-1d7feeb7140f,otro,1.25,"Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.","Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
147cd3b7-c8c6-4b6d-8203-712dacfe22b6,5cc10861-3ddd-467e-97f7-2033eb811300,hiit,1.67,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
0c384ba2-f2c6-4ca0-bf0a-6bac6a4bbbfa,1ee35bd7-2a17-4a8e-9c62-31457ae0befd,triatlon,1,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros viverra eget congue eget semper rutrum nulla. Nunc purus.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
bd1a59f8-8928-4e7b-be89-7b8a8346cfde,969d8cac-57dc-4e6f-9c99-8708966469ee,otro,1.56,"Mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis. Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.","Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
952079f9-5b2e-4fe8-a3a0-302fd7ced8fe,4df73c8b-4928-4cf4-9f1c-84e7e19e0f5a,otro,1.27,"Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
2c829d9d-fe05-41cb-84cb-f634db3e50f3,ec0773cb-7e77-4bb5-8862-45319a4f28e1,bajar de peso,1.37,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio."
1e2d7203-4d5d-4bcd-8692-56fe354b321f,077cc415-56b7-4e30-9136-610f23336cb8,bajar de peso,0.58,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat."
