id_actividad,id_usuario,id_dispositivo,id_plan,pais,Longitud,Latitud,duracion,fecha,hora
d2b9f5a4-e457-4065-b35a-35f6392c55aa,9efa1289-5256-49c0-ae8d-1eb3a88fb9e6,5f6742cf-0cc3-4994-8ae8-8d67aaf586b4,1a257404-2741-4d5b-aae3-90f1e49b0471,Brazil,-47.9247,-38.5258,1.47,04/10/23,8:04 PM
742ceebe-7cbd-42ab-934c-47a012fa1c3d,b4d30551-59cb-45b7-8b7f-c81e2223f076,9c9d7ede-4915-4fd1-a6d8-3ec8ff453c36,296f1010-fd8b-4feb-a7dc-64d429099a65,Russia,100.6432,60.0272,2.78,,2:38 PM
f079c279-1249-40e9-accb-4174eb8f5978,effbcd55-e394-4879-a07b-ed4b2a6c7d85,af1e4b22-9836-4ff4-bfb0-c87508e73036,d3c2f38b-249f-40c1-8230-d0ee763aa16e,Indonesia,112.6225,-7.7611,3.43,11/22/22,1:55 PM
b8db20aa-9915-4261-9646-ff6e50fc9f55,fc621f46-e0ef-4ad5-bfdf-1d7feeb7140f,5d5aa38b-9e5e-412d-b86b-e7528bcf5933,b206f2a3-5ddd-47a3-8884-c56d41266413,Russia,100.6432,60.0272,2.7,12/01/22,6:13 AM
59b61169-ecde-4989-ace3-a4612acac316,5cc10861-3ddd-467e-97f7-2033eb811300,39e8db1f-0258-459f-9aa4-cbceb3f15dbc,147cd3b7-c8c6-4b6d-8203-712dacfe22b6,Cuba,-78.4163,22.2258,1.45,05/10/23,8:01 AM
8ea971d8-bc3e-44c2-ab2d-7a8fe1f12c69,1ee35bd7-2a17-4a8e-9c62-31457ae0befd,6188ae01-946b-40e8-b472-41b6458ae3bd,0c384ba2-f2c6-4ca0-bf0a-6bac6a4bbbfa,China,106.3456,35.3371,1.96,06/05/23,3:19 AM
f0c4dc60-3cf3-4f9a-8e7d-a06c734c94ec,969d8cac-57dc-4e6f-9c99-8708966469ee,0b8d0acd-7391-4498-a529-a506ada0779e,bd1a59f8-8928-4e7b-be89-7b8a8346cfde,Brazil,-47.9247,-38.5258,1.7,04/19/23,7:14 PM
32bf0c7b-f21a-44bb-9e26-194e714e2dbf,4df73c8b-4928-4cf4-9f1c-84e7e19e0f5a,cac63327-f1b8-4ba4-bc67-16bc66edc032,952079f9-5b2e-4fe8-a3a0-302fd7ced8fe,Bolivia,-63.2369,-17.4052,3.99,07/12/23,3:21 PM
d25130a0-8a5d-4d44-8143-2a7f9ea02994,ec0773cb-7e77-4bb5-8862-45319a4f28e1,a8ec5dc7-b977-4322-8542-c7889ee7590b,2c829d9d-fe05-41cb-84cb-f634db3e50f3,Vietnam,105.7858,17.0296,3.14,08/09/23,9:53 PM
c1cc1ec2-c886-4018-83b2-642be4d339bf,077cc415-56b7-4e30-9136-610f23336cb8,5f6742cf-0cc3-4994-8ae8-8d67aaf586b4,1e2d7203-4d5d-4bcd-8692-56fe354b321f,Canada,-102.234,54.263,3.39,08/14/23,7:16 AM
bbf9ea4b-92da-4d5a-8fef-e9c8bf1fb232,6073dae1-6fca-4a30-bb61-81c1739ad30a,9c9d7ede-4915-4fd1-a6d8-3ec8ff453c36,5e91d1d7-7a6d-45c5-bf45-af03bdc65f63,China,106.3456,35.3371,1.36,10/03/23,11:01 PM
b17e5626-7322-41f6-8a21-4af6c3287764,634264b8-26d7-4cd7-bce6-541b3992faf5,af1e4b22-9836-4ff4-bfb0-c87508e73036,9486001c-d371-4452-863e-13f6b2b4cd18,China,106.3456,35.3371,2.12,01/25/23,1:57 AM
85973b7a-ccbc-4685-a730-a1ebf9ae21da,91971f49-2484-4442-8901-fb3100a8398f,5d5aa38b-9e5e-412d-b86b-e7528bcf5933,ae8ad1f2-6948-4834-a3e8-7d67f3a2d137,Brazil,-47.9247,-38.5258,2.4,03/21/23,6:23 AM
450dfea1-0901-4031-af93-ad709294dcff,0075f59b-4ec7-49be-9ab7-75e3edf0a5f5,39e8db1f-0258-459f-9aa4-cbceb3f15dbc,ad24d4a2-6d6a-4fdf-86ec-f76929fdeb10,Russia,100.6432,60.0272,1.03,07/29/23,8:29 PM
403e65e0-fb25-4c9d-933d-5b1d34aa0d22,dab0b8a3-0fd7-4995-8989-cb3704574b7a,6188ae01-946b-40e8-b472-41b6458ae3bd,45d226cb-97e2-468d-b960-ec20370809f9,Indonesia,112.6225,-7.7611,2.06,06/07/23,3:19 PM
2e97bcf6-f08d-4389-8597-e31bf8594a67,60e15872-eddb-4109-a31c-74176991236f,0b8d0acd-7391-4498-a529-a506ada0779e,6d2e59c2-d835-4d09-afd5-9c09b3828f9c,China,106.3456,35.3371,3.41,,1:09 AM
97a271fd-5536-4542-9729-03b72ee45dfd,b54cc38b-9916-4b9a-902f-3234030e5ad6,cac63327-f1b8-4ba4-bc67-16bc66edc032,3daa65e4-958b-4eb2-8974-52973b14d76c,Malaysia,103.3027,4.6123,3.27,12/13/22,11:34 PM
1464ffdb-52a1-4cae-a9b1-51ec670e0975,bc1cb69e-5aa0-496c-ac11-368c2249ffd7,a8ec5dc7-b977-4322-8542-c7889ee7590b,a862dc28-bd36-4575-a687-839c8bf9fb99,Serbia,21.0284,44.0241,3.37,12/06/22,11:36 PM
